,name,latitud,longitud,Type
0,Basketball Sadyba Park,52.171643926090624,21.083252309071064,Basketball Stadium
1,Victoria  Sulejowek,52.24572630289515,21.291287216699306,Basketball Stadium
2,PGE Narodowy,52.23927206395559,21.045727729797363,Basketball Stadium
3,Vip Park & stadium apartment,52.24456185226614,21.064518186594803,Basketball Stadium
4,Wembley Stadium Uefa Champions League Final,52.23589166077944,21.06005142873036,Basketball Stadium
5,Familia Stadium,52.224157,21.039124,Basketball Stadium
6,Agrykola Stadium,52.220627,21.037281,Basketball Stadium
7,Stadion Miejski Legii Warszawa im. Marszałka Józefa Piłsudskiego,52.22081976173645,21.040685176849365,Basketball Stadium
8,Estadio Oboźna - Fluki Stadium,52.240135192871094,21.030473709106445,Basketball Stadium
9,UKS Warsaw Wariors Stadium,52.143660995688656,21.053432707269167,Basketball Stadium
10,Polonia Warszawa,52.25551096885315,21.001284749712795,Basketball Stadium
11,Boicho Frycza,52.24080920117784,21.001757056906975,Basketball Stadium
12,Stadium,52.177441203658425,21.018473500630872,Basketball Stadium
13,Nike Football Stadium Warsaw,52.230014,21.003051,Basketball Stadium
14,The British School Basketball Pitch,52.26998570306846,20.985045065713997,Basketball Stadium
15,Spartans Stadium,52.259489815661695,20.938889980316162,Basketball Stadium
16,czachówek stadium😎😎😎,51.960592,21.089893,Basketball Stadium
