,name,latitud,longitud,Type
0,Music Expert,52.30288939190019,21.086711883544922,Music Venue
1,music room,52.18954,21.055269,Music Venue
2,Music School,52.23242822140435,21.01609812763417,Music Venue
3,Music Expert,52.30289,21.08975,Music Venue
4,Music Bar,52.19912204244608,21.023243698440236,Music Venue
5,Musicart,52.178543,21.060368,Music Venue
6,Music Fan,52.2357463153274,21.019411236047745,Music Venue
7,Music Bar,52.23314551435308,21.023520897524456,Music Venue
8,Music Market,52.133323064195565,21.074386808407223,Music Venue
9,ye ye,52.16330919134653,21.081927300486612,Music Venue
10,czech music bar,52.242689,21.082877,Music Venue
11,Music Company Sp. z o.o. Sp.k.,52.26611,20.99008,Music Venue
12,The Venue,52.19046094834792,21.04886839141569,Music Venue
13,Barka Live Music Club,52.22692646152472,21.053229441853187,Music Venue
14,Music Media,52.26672603021459,20.979273319244385,Music Venue
15,Good Music Productions,52.20245842073322,21.007972955703735,Music Venue
16,Kindle Polaroids Music,52.205870930368796,21.04553461074829,Music Venue
17,BEIRUT hummus & music bar,52.22465829164167,21.01208799100554,Music Venue
18,Extra Time Sport & Music Club,52.23071897246153,21.0121930136278,Music Venue
19,THE VENUE,52.19611629549973,21.04609820731918,Music Venue
20,MS Records Music Studio,52.155181884765625,21.03887176513672,Music Venue
21,Music Sfera,52.20025634765625,20.94933319091797,Music Venue
22,Music School,52.281937,20.962483,Music Venue
23,T2P Music Department,52.149784,21.057956,Music Venue
24,Kill The Wall Music Studio,52.1372608824733,21.023543290179575,Music Venue
25,Minus Music Club,52.18164775952085,21.017522241991053,Music Venue
26,Miuosh music,52.252659593171785,21.01000893931262,Music Venue
27,Misso Musica,52.17408134385344,21.028772929702225,Music Venue
28,Black Angels Music Club,52.233616717466596,21.02008523860707,Music Venue
29,Music 99 store,52.200673327921685,20.938077976627305,Music Venue
